paperID,proceedingID,edition,venue,month,day,year
20054,50012,15,Washington,6,3,2014
20055,50009,7,Berlin,8,3,2013
20056,50010,7,Budapest,10,16,2018
20057,50003,12,Miami,6,14,2013
20058,50005,7,London,6,19,2014
20059,50003,11,Cambridge,6,22,2016
20060,50013,15,Medellin,5,21,2013
20061,50012,14,Santiago,4,9,2018
20062,50008,3,Cali,7,14,2018
20063,50007,12,Bogota,8,12,2012
20064,50002,1,Madrid,8,22,2018
20065,50001,12,Las Vegas,6,4,2013
20066,50012,13,Sao Paulo,11,19,2015
20067,50015,7,Rio de Janeiro,6,15,2014
20068,50007,15,Buenos Aires,1,19,2014
20069,50008,6,Valencia,1,22,2018
20070,50007,15,Los Angeles,11,5,2017
20071,50015,8,San Francisco,11,12,2016
20072,50007,14,Toronto,5,22,2017
20073,50005,2,Caracas,8,3,2016
20074,50001,3,Milan,10,28,2017
20075,50017,8,Barcelona,11,1,2012
20076,50007,14,New York,7,20,2015
20077,50001,8,Washington,7,14,2012
20078,50003,11,Berlin,9,24,2017
20079,50014,10,Budapest,10,30,2018
20080,50006,12,Miami,3,8,2012
20081,50014,9,London,2,26,2018
20082,50002,4,Cambridge,10,19,2016
20083,50008,2,Medellin,1,3,2016
20084,50013,12,Santiago,9,30,2017
20085,50015,7,Cali,4,30,2017
20086,50002,4,Bogota,5,7,2014
20087,50004,2,Madrid,6,30,2014
20088,50003,13,Las Vegas,6,14,2014
20089,50006,11,Sao Paulo,1,22,2013
20090,50003,1,Rio de Janeiro,10,1,2015
20091,50014,4,Buenos Aires,5,9,2013
20092,50007,3,Valencia,10,11,2012
20093,50015,9,Los Angeles,5,31,2015
20094,50012,10,San Francisco,6,21,2014
20095,50014,3,Toronto,9,12,2015
20096,50005,9,Los Angeles,5,21,2012
20097,50010,9,San Francisco,1,5,2014
20098,50017,1,London,4,26,2013
20099,50012,2,New York,5,20,2015
20100,50014,2,Madrid,8,20,2012
20101,50011,7,Milan,8,20,2016
20102,50010,13,Barcelona,9,16,2013
20103,50008,15,New York,12,24,2014
20104,50001,11,Washington,6,3,2014
20105,50011,12,Berlin,8,3,2013
20106,50001,14,Budapest,10,16,2018
20107,50017,11,Miami,6,14,2013
20108,50012,5,London,6,19,2014
20109,50012,9,Cambridge,6,22,2016
20110,50003,4,Medellin,5,21,2013
20111,50006,1,Santiago,4,9,2018
20112,50003,15,Cali,7,14,2018
20113,50002,7,Bogota,8,12,2012
20114,50008,1,Madrid,8,22,2018
20115,50007,10,Las Vegas,6,4,2013
20116,50006,14,Sao Paulo,11,19,2015
20117,50013,4,Rio de Janeiro,6,15,2014
20118,50005,12,Buenos Aires,1,19,2014
20119,50011,15,Valencia,1,22,2018
20120,50014,12,Los Angeles,11,5,2017
20121,50009,5,San Francisco,11,12,2016
20122,50011,15,Toronto,5,22,2017
20123,50002,10,Caracas,8,3,2016
20124,50017,10,Milan,10,28,2017
20125,50017,15,Barcelona,11,1,2012
20126,50013,12,New York,7,20,2015
20127,50007,11,Washington,7,14,2012
20128,50001,10,Berlin,9,24,2017
20129,50013,5,Budapest,10,30,2018
20130,50002,5,Miami,3,8,2012
20131,50005,1,London,2,26,2018
20132,50005,10,Cambridge,10,19,2016
20133,50009,6,Medellin,1,3,2016
20134,50008,15,Santiago,9,30,2017
20135,50013,7,Cali,4,30,2017
20136,50009,5,Bogota,5,7,2014
20137,50003,7,Madrid,6,30,2014
20138,50003,13,Las Vegas,6,14,2014
20139,50013,9,Sao Paulo,1,22,2013
20140,50001,15,Rio de Janeiro,10,1,2015
20141,50017,6,Buenos Aires,5,9,2013
20142,50003,7,Valencia,10,11,2012
20143,50007,15,Los Angeles,5,31,2015
20144,50015,3,San Francisco,6,21,2014
20145,50015,4,Toronto,9,12,2015
20146,50009,2,Los Angeles,5,21,2012
20147,50011,13,San Francisco,1,5,2014
20148,50001,10,London,4,26,2013
20149,50001,14,New York,5,20,2015
20150,50015,3,Madrid,8,20,2012
20151,50002,11,Milan,8,20,2016
20152,50014,2,Barcelona,9,16,2013
20153,50010,1,New York,12,24,2014
20154,50010,8,Washington,6,3,2014
20155,50015,9,Berlin,8,3,2013
20156,50008,3,Budapest,10,16,2018
20157,50001,12,Miami,6,14,2013
20158,50014,4,London,6,19,2014
20159,50014,15,Cambridge,6,22,2016
20160,50012,14,Medellin,5,21,2013
20161,50015,1,Santiago,4,9,2018
20162,50015,7,Cali,7,14,2018
20163,50017,3,Bogota,8,12,2012
20164,50011,14,Madrid,8,22,2018
20165,50009,9,Las Vegas,6,4,2013
20166,50006,5,Sao Paulo,11,19,2015
20167,50007,6,Rio de Janeiro,6,15,2014
20168,50013,10,Buenos Aires,1,19,2014
20169,50017,4,Valencia,1,22,2018
20170,50010,11,Los Angeles,11,5,2017
20171,50016,2,San Francisco,11,12,2016
20172,50009,15,Toronto,5,22,2017
20173,50006,6,Caracas,8,3,2016
20174,50009,8,Milan,10,28,2017
20175,50011,1,Barcelona,11,1,2012
20176,50011,8,New York,7,20,2015
20177,50008,12,Washington,7,14,2012
20178,50002,5,Berlin,9,24,2017
20179,50005,12,Budapest,10,30,2018
20180,50001,15,Miami,3,8,2012
20181,50007,8,London,2,26,2018
20182,50010,9,Cambridge,10,19,2016
20183,50003,1,Medellin,1,3,2016
20184,50009,1,Santiago,9,30,2017
20185,50015,13,Cali,4,30,2017
20186,50011,11,Bogota,5,7,2014
20187,50007,13,Madrid,6,30,2014
20188,50002,10,Las Vegas,6,14,2014
20189,50016,3,Sao Paulo,1,22,2013
20190,50017,9,Rio de Janeiro,10,1,2015
20191,50005,13,Buenos Aires,5,9,2013
20192,50014,5,Valencia,10,11,2012
20193,50008,12,Los Angeles,5,31,2015
20194,50015,11,San Francisco,6,21,2014
20195,50005,15,Toronto,9,12,2015
20196,50006,9,Los Angeles,5,21,2012
20197,50013,10,San Francisco,1,5,2014
20198,50005,10,London,4,26,2013
20199,50016,14,New York,5,20,2015
20200,50008,3,Madrid,8,20,2012
20201,50004,12,Milan,8,20,2016
20202,50009,3,Barcelona,9,16,2013
20203,50017,14,New York,12,24,2014
20204,50016,13,Washington,6,3,2014
20205,50003,9,Berlin,8,3,2013
20206,50003,12,Budapest,10,16,2018
20207,50006,5,Miami,6,14,2013
20208,50016,14,London,6,19,2014
20209,50014,13,Cambridge,6,22,2016
20210,50005,10,Medellin,5,21,2013
20211,50016,13,Santiago,4,9,2018
20212,50016,6,Cali,7,14,2018
20213,50008,3,Bogota,8,12,2012
20214,50005,5,Madrid,8,22,2018
20215,50001,3,Las Vegas,6,4,2013
20216,50012,6,Sao Paulo,11,19,2015
20217,50003,7,Rio de Janeiro,6,15,2014
20218,50014,15,Buenos Aires,1,19,2014
20219,50004,4,Valencia,1,22,2018
20220,50008,6,Los Angeles,11,5,2017
20221,50016,12,San Francisco,11,12,2016
20222,50001,10,Toronto,5,22,2017
20223,50014,3,Caracas,8,3,2016
20224,50011,4,Milan,10,28,2017
20225,50014,9,Barcelona,11,1,2012
20226,50008,3,New York,7,20,2015
20227,50001,11,Washington,7,14,2012
20228,50008,1,Berlin,9,24,2017
20229,50017,7,Budapest,10,30,2018
20230,50017,4,Miami,3,8,2012
20231,50016,11,London,2,26,2018
20232,50016,13,Cambridge,10,19,2016
20233,50015,8,Medellin,1,3,2016
20234,50010,4,Santiago,9,30,2017
20235,50016,13,Cali,4,30,2017
20236,50015,9,Bogota,5,7,2014
20237,50007,9,Madrid,6,30,2014
20238,50008,8,Las Vegas,6,14,2014
20239,50011,5,Sao Paulo,1,22,2013
20240,50004,6,Rio de Janeiro,10,1,2015
20241,50003,6,Buenos Aires,5,9,2013
20242,50015,2,Valencia,10,11,2012
20243,50014,4,Los Angeles,5,31,2015
20244,50002,3,San Francisco,6,21,2014
20245,50010,14,Toronto,9,12,2015
20246,50010,12,Los Angeles,5,21,2012
20247,50016,14,San Francisco,1,5,2014
20248,50006,6,London,4,26,2013
20249,50005,2,New York,5,20,2015
20250,50006,8,Madrid,8,20,2012
20251,50006,15,Milan,8,20,2016
20252,50002,10,Barcelona,9,16,2013
20253,50012,14,New York,12,24,2014
20254,50015,12,Washington,6,3,2014
20255,50017,12,Berlin,8,3,2013
20256,50005,10,Budapest,10,16,2018
20257,50012,1,Miami,6,14,2013
20258,50004,7,London,6,19,2014
20259,50003,13,Cambridge,6,22,2016
20260,50016,9,Medellin,5,21,2013
20261,50007,11,Santiago,4,9,2018
20262,50015,12,Cali,7,14,2018
20263,50012,11,Bogota,8,12,2012
20264,50016,7,Madrid,8,22,2018
20265,50010,5,Las Vegas,6,4,2013
20266,50007,5,Sao Paulo,11,19,2015
20267,50014,10,Rio de Janeiro,6,15,2014
20268,50001,1,Buenos Aires,1,19,2014
20269,50005,10,Valencia,1,22,2018
20270,50014,12,Los Angeles,11,5,2017
20271,50005,4,San Francisco,11,12,2016
20272,50014,10,Toronto,5,22,2017
20273,50015,4,Caracas,8,3,2016
20274,50002,2,Milan,10,28,2017
20275,50001,12,Barcelona,11,1,2012
20276,50006,12,New York,7,20,2015
20277,50004,12,Washington,7,14,2012
20278,50011,15,Berlin,9,24,2017
20279,50001,6,Budapest,10,30,2018
20280,50007,2,Miami,3,8,2012
20281,50007,1,London,2,26,2018
20282,50012,8,Cambridge,10,19,2016
20283,50016,14,Medellin,1,3,2016
20284,50006,11,Santiago,9,30,2017
20285,50004,12,Cali,4,30,2017
20286,50008,12,Bogota,5,7,2014
20287,50001,10,Madrid,6,30,2014
20288,50017,9,Las Vegas,6,14,2014
20289,50003,9,Sao Paulo,1,22,2013
20290,50003,4,Rio de Janeiro,10,1,2015
20291,50004,3,Buenos Aires,5,9,2013
20292,50006,10,Valencia,10,11,2012
20293,50004,3,Los Angeles,5,31,2015
20294,50010,10,San Francisco,6,21,2014
20295,50010,7,Toronto,9,12,2015
20296,50017,11,Los Angeles,5,21,2012
20297,50015,7,San Francisco,1,5,2014
20298,50016,6,London,4,26,2013
20299,50008,8,New York,5,20,2015
20300,50005,8,Madrid,8,20,2012
20301,50016,1,Milan,8,20,2016
20302,50005,10,Barcelona,9,16,2013
20303,50001,2,New York,12,24,2014
20304,50013,10,Washington,6,3,2014
20305,50008,2,Berlin,8,3,2013
20306,50006,2,Budapest,10,16,2018
20307,50015,15,Miami,6,14,2013
20308,50012,15,London,6,19,2014
20309,50010,7,Cambridge,6,22,2016
20310,50011,10,Medellin,5,21,2013
20311,50003,3,Santiago,4,9,2018
20312,50011,2,Cali,7,14,2018
20313,50010,8,Bogota,8,12,2012
20314,50004,8,Madrid,8,22,2018
20315,50011,13,Las Vegas,6,4,2013
20316,50001,10,Sao Paulo,11,19,2015
20317,50006,11,Rio de Janeiro,6,15,2014
20318,50011,3,Buenos Aires,1,19,2014
20319,50001,12,Valencia,1,22,2018
20320,50014,7,Los Angeles,11,5,2017
20321,50016,11,San Francisco,11,12,2016
20322,50015,5,Toronto,5,22,2017
20323,50014,13,Caracas,8,3,2016
20324,50006,12,Milan,10,28,2017
20325,50002,11,Barcelona,11,1,2012
20326,50014,4,New York,7,20,2015
20327,50017,11,Washington,7,14,2012
20328,50007,6,Berlin,9,24,2017
20329,50011,4,Budapest,10,30,2018
20330,50010,15,Miami,3,8,2012
20331,50012,4,London,2,26,2018
20332,50013,1,Cambridge,10,19,2016
