paperID,paperTitle,citedBy,abstract
20212,paper 20212,20288,Abstract 20212
20213,paper 20213,20051,Abstract 20213
20214,paper 20214,20177,Abstract 20214
20215,paper 20215,20039,Abstract 20215
20216,paper 20216,20042,Abstract 20216
20217,paper 20217,20065,Abstract 20217
20218,paper 20218,20247,Abstract 20218
20219,paper 20219,20164,Abstract 20219
20220,paper 20220,20092,Abstract 20220
20221,paper 20221,20327,Abstract 20221
20222,paper 20222,20112,Abstract 20222
20223,paper 20223,20263,Abstract 20223
20224,paper 20224,20176,Abstract 20224
20225,paper 20225,20061,Abstract 20225
20226,paper 20226,20162,Abstract 20226
20227,paper 20227,20124,Abstract 20227
20228,paper 20228,20144,Abstract 20228
20229,paper 20229,20148,Abstract 20229
20230,paper 20230,20286,Abstract 20230
20231,paper 20231,20094,Abstract 20231
20232,paper 20232,20031,Abstract 20232
20233,paper 20233,20114,Abstract 20233
20234,paper 20234,20038,Abstract 20234
20235,paper 20235,20319,Abstract 20235
20236,paper 20236,20294,Abstract 20236
20237,paper 20237,20024,Abstract 20237
20238,paper 20238,20218,Abstract 20238
20239,paper 20239,20157,Abstract 20239
20240,paper 20240,20230,Abstract 20240
20241,paper 20241,20137,Abstract 20241
20242,paper 20242,20029,Abstract 20242
20243,paper 20243,20246,Abstract 20243
20244,paper 20244,20048,Abstract 20244
20245,paper 20245,20192,Abstract 20245
20246,paper 20246,20288,Abstract 20246
20247,paper 20247,20058,Abstract 20247
20248,paper 20248,20056,Abstract 20248
20249,paper 20249,20037,Abstract 20249
20250,paper 20250,20207,Abstract 20250
20251,paper 20251,20077,Abstract 20251
20252,paper 20252,20188,Abstract 20252
20253,paper 20253,20256,Abstract 20253
20254,paper 20254,20114,Abstract 20254
20255,paper 20255,20081,Abstract 20255
20256,paper 20256,20279,Abstract 20256
20257,paper 20257,20204,Abstract 20257
20258,paper 20258,20172,Abstract 20258
20259,paper 20259,20012,Abstract 20259
20260,paper 20260,20233,Abstract 20260
20261,paper 20261,20270,Abstract 20261
20262,paper 20262,20260,Abstract 20262
20263,paper 20263,20038,Abstract 20263
20264,paper 20264,20139,Abstract 20264
20265,paper 20265,20076,Abstract 20265
20266,paper 20266,20232,Abstract 20266
20267,paper 20267,20164,Abstract 20267
20268,paper 20268,20214,Abstract 20268
20269,paper 20269,20182,Abstract 20269
20270,paper 20270,20319,Abstract 20270
20271,paper 20271,20242,Abstract 20271
20272,paper 20272,20177,Abstract 20272
20273,paper 20273,20329,Abstract 20273
20274,paper 20274,20329,Abstract 20274
20275,paper 20275,20147,Abstract 20275
20276,paper 20276,20303,Abstract 20276
20277,paper 20277,20171,Abstract 20277
20278,paper 20278,20314,Abstract 20278
20279,paper 20279,20151,Abstract 20279
20280,paper 20280,20239,Abstract 20280
20281,paper 20281,20172,Abstract 20281
20282,paper 20282,20274,Abstract 20282
20283,paper 20283,20067,Abstract 20283
20284,paper 20284,20112,Abstract 20284
20285,paper 20285,20161,Abstract 20285
20286,paper 20286,20247,Abstract 20286
20287,paper 20287,20029,Abstract 20287
20288,paper 20288,20288,Abstract 20288
20289,paper 20289,20101,Abstract 20289
20290,paper 20290,20271,Abstract 20290
20291,paper 20291,20278,Abstract 20291
20292,paper 20292,20145,Abstract 20292
20293,paper 20293,20181,Abstract 20293
20294,paper 20294,20214,Abstract 20294
20295,paper 20295,20259,Abstract 20295
20296,paper 20296,20100,Abstract 20296
20297,paper 20297,20122,Abstract 20297
20298,paper 20298,20138,Abstract 20298
20299,paper 20299,20235,Abstract 20299
20300,paper 20300,20313,Abstract 20300
20301,paper 20301,20007,Abstract 20301
20302,paper 20302,20014,Abstract 20302
20303,paper 20303,20224,Abstract 20303
20304,paper 20304,20179,Abstract 20304
20305,paper 20305,20327,Abstract 20305
20306,paper 20306,20210,Abstract 20306
20307,paper 20307,20312,Abstract 20307
20308,paper 20308,20138,Abstract 20308
20309,paper 20309,20219,Abstract 20309
20310,paper 20310,20283,Abstract 20310
20311,paper 20311,20178,Abstract 20311
20312,paper 20312,20125,Abstract 20312
20313,paper 20313,20090,Abstract 20313
20314,paper 20314,20234,Abstract 20314
20315,paper 20315,20028,Abstract 20315
20316,paper 20316,20110,Abstract 20316
20317,paper 20317,20116,Abstract 20317
20318,paper 20318,20030,Abstract 20318
20319,paper 20319,20032,Abstract 20319
20320,paper 20320,20149,Abstract 20320
20321,paper 20321,20185,Abstract 20321
20322,paper 20322,20271,Abstract 20322
20323,paper 20323,20250,Abstract 20323
20324,paper 20324,20226,Abstract 20324
20325,paper 20325,20058,Abstract 20325
20326,paper 20326,20314,Abstract 20326
20327,paper 20327,20071,Abstract 20327
20328,paper 20328,20108,Abstract 20328
20329,paper 20329,20020,Abstract 20329
20330,paper 20330,20252,Abstract 20330
20331,paper 20331,20133,Abstract 20331
20332,paper 20332,20041,Abstract 20332
